-3.89048	-42.15
-3.88981	-42.1
-3.88913	-42.05
-3.88845	-42
-3.88776	-41.95
-3.88708	-41.9
-3.88639	-41.85
-3.8857	-41.8
-3.88501	-41.75
-3.88432	-41.7
-3.88362	-41.65
-3.88293	-41.6
-3.88223	-41.55
-3.88153	-41.5
-3.88082	-41.45
-3.88012	-41.4
-3.87941	-41.35
-3.8787	-41.3
-3.87799	-41.25
-3.87728	-41.2
-3.87657	-41.15
-3.87585	-41.1
-3.87513	-41.05
-3.87441	-41
-3.87369	-40.95
-3.87296	-40.9
-3.87224	-40.85
-3.87151	-40.8
-3.87078	-40.75
-3.87004	-40.7
-3.86931	-40.65
-3.86857	-40.6
-3.86783	-40.55
-3.86709	-40.5
-3.86635	-40.45
-3.8656	-40.4
-3.86485	-40.35
-3.8641	-40.3
-3.86335	-40.25
-3.8626	-40.2
-3.86184	-40.15
-3.86108	-40.1
-3.86032	-40.05
-3.85956	-40
-3.8588	-39.95
-3.85803	-39.9
-3.85726	-39.85
-3.85649	-39.8
-3.85572	-39.75
-3.85494	-39.7
-3.85416	-39.65
-3.85338	-39.6
-3.8526	-39.55
-3.85182	-39.5
-3.85103	-39.45
-3.85025	-39.4
-3.84945	-39.35
-3.84866	-39.3
-3.84787	-39.25
-3.84707	-39.2
-3.84627	-39.15
-3.84547	-39.1
-3.84467	-39.05
-3.84386	-39
-3.84305	-38.95
-3.84224	-38.9
-3.84143	-38.85
-3.84062	-38.8
-3.8398	-38.75
-3.83898	-38.7
-3.83816	-38.65
-3.83733	-38.6
-3.83651	-38.55
-3.83568	-38.5
-3.83485	-38.45
-3.83402	-38.4
-3.83318	-38.35
-3.83235	-38.3
-3.83151	-38.25
-3.83066	-38.2
-3.82982	-38.15
-3.82897	-38.1
-3.82812	-38.05
-3.82727	-38
-3.82642	-37.95
-3.82556	-37.9
-3.82471	-37.85
-3.82385	-37.8
-3.82298	-37.75
-3.82212	-37.7
-3.82125	-37.65
-3.82038	-37.6
-3.81951	-37.55
-3.81864	-37.5
-3.81776	-37.45
-3.81688	-37.4
-3.816	-37.35
-3.81511	-37.3
-3.81423	-37.25
-3.81334	-37.2
-3.81245	-37.15
-3.81155	-37.1
-3.81066	-37.05
-3.80976	-37
-3.80886	-36.95
-3.80796	-36.9
-3.80705	-36.85
-3.80614	-36.8
-3.80523	-36.75
-3.80432	-36.7
-3.8034	-36.65
-3.80249	-36.6
-3.80157	-36.55
-3.80064	-36.5
-3.79972	-36.45
-3.79879	-36.4
-3.79786	-36.35
-3.79693	-36.3
-3.79599	-36.25
-3.79506	-36.2
-3.79412	-36.15
-3.79317	-36.1
-3.79223	-36.05
-3.79128	-36
-3.79033	-35.95
-3.78938	-35.9
-3.78842	-35.85
-3.78747	-35.8
-3.78651	-35.75
-3.78554	-35.7
-3.78458	-35.65
-3.78361	-35.6
-3.78264	-35.55
-3.78167	-35.5
-3.78069	-35.45
-3.77971	-35.4
-3.77873	-35.35
-3.77775	-35.3
-3.77676	-35.25
-3.77578	-35.2
-3.77479	-35.15
-3.77379	-35.1
-3.7728	-35.05
-3.7718	-35
-3.7708	-34.95
-3.76979	-34.9
-3.76879	-34.85
-3.76778	-34.8
-3.76676	-34.75
-3.76575	-34.7
-3.76473	-34.65
-3.76371	-34.6
-3.76269	-34.55
-3.76167	-34.5
-3.76064	-34.45
-3.75961	-34.4
-3.75857	-34.35
-3.75754	-34.3
-3.7565	-34.25
-3.75546	-34.2
-3.75441	-34.15
-3.75337	-34.1
-3.75232	-34.05
-3.75127	-34
-3.75021	-33.95
-3.74916	-33.9
-3.74809	-33.85
-3.74703	-33.8
-3.74597	-33.75
-3.7449	-33.7
-3.74383	-33.65
-3.74275	-33.6
-3.74168	-33.55
-3.7406	-33.5
-3.73952	-33.45
-3.73843	-33.4
-3.73734	-33.35
-3.73625	-33.3
-3.73516	-33.25
-3.73406	-33.2
